emotions,sentiment,clean_text
neutral,Positive,going clean room thats hard room pretty clean reallyanyway better things
sadness,Neutral,  reply fans  know trust
empty,Neutral,  well
relief,Positive,  fun tonight wish
neutral,Negative,lol sunburnnn achurley bad  dont think xd 
relief,Neutral,finally home tp tetep kurang 3bt buat shooting kamis nih huaaaa stress gila syapa lg ya
empty,Neutral, 
worry,Neutral,  time vegas trip ill look like noob there
love,Neutral,  heart goes
enthusiasm,Positive,appreciation lunch work good food sucks day lol
worry,Negative,worse friends party tonight im stuck here seen months
surprise,Negative,burning cds fucking outa blank discs
hate,Negative,gawd im tired still new place 530 pm cause work stressed fb
neutral,Positive,  day activities lol
love,Positive,  hey sweetie cnt fri thnks
love,Positive,loving sunshine wish poor richie feel better
sadness,Negative,  awwh im sorry longer
neutral,Neutral,  video private cant
worry,Positive,didnt post new song today try post tomorrow
neutral,Neutral,  yea afterthought
worry,Neutral,got pool need ice knee
worry,Positive,  psych better neuro better town miss
sadness,Negative,fuckin tired home till 530 work bjs 1215
enthusiasm,Neutral,says goodmorning 
worry,Neutral,heyy watching simpson shezza paula
worry,Negative,tashas bad haircut treated skin cancer shaved neck tail 
worry,Neutral,internal fuse poop spare loft job 2 people
neutral,Negative,  lived usa gotto 2 106 park aunty lives nyc bronx grrr
relief,Positive,aaggh blackberry curve took gash screen day invisible shields stock itll good advertisement
neutral,Positive,yay nice weather boo cici weekend
worry,Negative,spose going party tonight gues im sick grrrrr
worry,Negative,feeling sorry ian broke gf feel reali sad cos feels down wish huge hug right
sadness,Neutral,  traumatic discuss yall here left weekend
neutral,Neutral,  maybe jd help know ask
love,Neutral,  wah sayang
surprise,Neutral,  sctest            
surprise,Neutral,  massive beer guardian huuuge told already trust me
worry,Neutral,  dream u like
worry,Positive,  adoreeeee matt nathanson jealous right now
worry,Negative,  sell album poor thing
neutral,Positive,thinks okay goodluck ako 
worry,Negative,  god need revise today im lazy
surprise,Negative,  oh poor cars testicles
sadness,Positive,im sooo sore hurts legs weak im dehydrated set moms furniture gay
happiness,Negative,got shopping wife tescos knew day going well
worry,Neutral,  phne blocks text
hate,Negative,stupid idiot ran stop sing killed car
neutral,Negative,  tired
neutral,Neutral,sleeping cousins house weekend bugzy
worry,Positive,laptop pooped new harddrive needed dhs old pc now maybe offline damn bsod happened times safe mode
worry,Neutral,4 lonestar pitchers    recovering weekends bout irresponsible gluten consumption
relief,Neutral,500 saved buying couch going paying visit er uti
neutral,Positive,realised people interested business twitter  want heard online
sadness,Positive,rose city sirens uber cool night wish stayed longer
neutral,Neutral,listening heart aint brain chris brown 
sadness,Neutral,stood curlers burnt burnt hand picked up
worry,Positive,  got cars lost job good money works mcdonalds hire him
sadness,Negative,wondering happened sun damn grey
sadness,Positive,im feeling nostalgic im sad happy feel over time feels over love you
worry,Negative,sprinkling outside hope rain game 
sadness,Negative,fuming ebay purchase gone bad outta 45 amp
sadness,Positive,  luck u coming detroit luckily ill seeing u crew chicago
sadness,Positive,lol
neutral,Neutral,  im it probably week
worry,Positive,  miss earrings lol let know close
sadness,Positive,  guys adopt me yall fun stuff yall trips miami arkansas
sadness,Neutral,wish sun shine
sadness,Negative,  very im ill attempting remember lots going in
sadness,Neutral,cried eyes watching girl period hahah
love,Neutral,signed japanese 123 clark college night class kameisensei days week kuso
sadness,Neutral,    leavin bc racists starts cryin
hate,Neutral,bother   celebs eh cause like talking
neutral,Negative,wishes realized wife held debit card took long walk lunch after grrr
surprise,Positive,  ah cbeebies epg chance hehe need pinkyponk crash warnings  journey home long
worry,Negative,gain weight lost 20 pounds want back im 108 im 23 yrs old 57 healthy
sadness,Negative,im hungry cant eat right tongue hurts bad
worry,Negative,  oh man hope guys shaken bad
worry,Negative,  funny
neutral,Neutral,eurgh revision invented history
neutral,Neutral,im putting
worry,Neutral,    ill update you leave vet tests xrays
surprise,Negative,  announced days cancer think
worry,Neutral,theyve changed soap mens loo smell marzipan anymore miss marzipan soap
sadness,Negative,hey guys im work kinda horrible
worry,Neutral,know wanna hurt
neutral,Neutral,hater  
surprise,Neutral,oh my play cluedo
worry,Negative,  psh im cool openhouses
hate,Negative,hate revision
sadness,Positive,aww friend called said got better job working anymore
neutral,Neutral,doesnt know pimp twitter page
worry,Negative,  btw shirts shipping out ran stock size ordered quoti famousquot sorry
surprise,Neutral,smell cake cake oven
sadness,Neutral,leaving sf soon cry
happiness,Negative,  man 4 months drunk tweets
worry,Neutral,daisy got attacked doggie park
neutral,Negative,webcams hoepfner burgfest karlsruhe automatic reload fail 
neutral,Positive,better physics revision x
hate,Positive,okay want screamidk doc 3 days weekrrrrr
sadness,Neutral,need restful weekend work instead
neutral,Positive,hairspray hair  lighterampbong  new haircut
sadness,Negative,  thank u know ill miss u ill pics soon need email txt
enthusiasm,Positive,working damn financial project definitely fun weekend  want spend wit baaaby waaaah
relief,Neutral,im exited weekend partaaaay dont want school tuesday
surprise,Negative,  happened often hated it time moved username thought id love moved soon after
hate,Negative,hey ugh im sick summar 
neutral,Positive,  okay rose told phone shut moving spokane going on
boredom,Neutral,10min brake wrrkk  1106 at 1116
neutral,Positive,  yep im going better
neutral,Neutral,tour got canceled
sadness,Neutral,  im jealous want octo drive
fun,Neutral,yaaaaay friday oh wait im working tomorrow
neutral,Positive,work ohwell need money 
worry,Negative,  wear sunglasses uncomfortable felt poor sam
surprise,Neutral,  damn lolwhere u headed to
neutral,Neutral,leo carillo beach rogers state park list state parks close 
worry,Positive,  no were omg nearly monday
fun,Neutral,    twpp shadez
worry,Positive,spent 45 minutes looking aud
sadness,Positive,  hes retiring tonight im bummed awesome ha congrats dear
sadness,Neutral,  mustve read mind going thunderstorming pick boys bus stop
neutral,Negative,  5 faces thing xx
surprise,Neutral,anddd justin eff
neutral,Positive,must stop using lol much crap
worry,Negative,ough shower toes feel horrible socks think bit wet
surprise,Positive,  u try taco n mac n cheese pizza im cravin right good food makes sick
sadness,Positive,  xbox broke hope enjoy playing 1 vs 100 waslooking forward that
sadness,Neutral,  cantttt grandparents here
sadness,Negative,ok im stuck bored ill
sadness,Positive,downside getting tdl 3 days early time read til week anyway still hurrah clutches close
neutral,Neutral,   nope
worry,Neutral,overthought tying shoe figure
hate,Negative,oh fuck me ive returned supermarket doom find drink here
worry,Negative,come cold now days ago wicked nice out feel like need winter coat back
worry,Negative,gym blowout sans thong wearing company phew bummer missing workout
happiness,Positive,glorious week best holiday think want home morning
worry,Neutral,tummy hurts
worry,Neutral,hangin fam head hurtin
sadness,Negative,  sorry
happiness,Positive,  aaaw bad  im good mood phone lol
worry,Positive,  hott africa lol yeah hot big storm
surprise,Neutral,1st presentation senior boards fml
worry,Neutral,  wish about stuck pile boxes sore load tesco blue shopper bags fill kitchen
sadness,Positive,  completely enraptured fascinating updates testing now oh waityeah work course
worry,Neutral,  uk tour  x
sadness,Positive,miss   im sorry able u sleep love youhave great trip tomorrow send  them
relief,Positive,crap nearly forgot pin try learn new future lest push vital information
sadness,Negative,school  victoria amp bryan   school soon sadd
happiness,Neutral,    doh im inside job lolzor
sadness,Negative,got right bad headache
love,Positive,  loved mini
sadness,Positive,  no better people know   going chiodos tonight right kill me
worry,Positive,  fancy nap right work 7am feel nap wasting evening
happiness,Negative,  is sorry listen bats gd it dude got tell you but bats amazing lt33
sadness,Negative,oh monitors act deadline oh im unhappy camper
surprise,Neutral,twitter extend number limit littttttle bit 160 atleast
surprise,Neutral,britney g allan allan favs think town
worry,Neutral,contemplating getting hair cut severe anxiety it
worry,Neutral,  guess cooler me tony hawk replied
neutral,Negative,  know gotta wait earl 2010 think late 2009 wrong
worry,Negative,stupid recall car
neutral,Positive,finally home decides time work 1710 friday long weekend apparently client
sadness,Neutral,got home work feet killing
sadness,Negative,min lost 2 followers
sadness,Negative,  hiyaa tour disappointed hope dandy  xxxxxxxx
worry,Negative,addin comment spose going jonas brothers 3d movie guess couldnt aswell cos im sick
neutral,Positive,right know episode bones showing sky2 tonight 9pm  programme synopsis available box
relief,Positive,work slow beautiful day friday
happiness,Positive,  come dont think good
neutral,Positive,  thoughts exactly
worry,Neutral,  walking home fell ground
worry,Neutral,bugger forgot washing machine
neutral,Neutral,time drama room
relief,Neutral,  lived way pop cant
sadness,Neutral,  wanna play tonight pout pout face
worry,Positive,gonna super long day
boredom,Negative,jus sittin da libray stupid computer wont let order mac foundation
happiness,Positive,  yeeeeah    seen empire 100 computer games 
hate,Neutral,swolen shitt boo hoo
happiness,Positive,jon amp kate  8 kids attracted huge tv audience tabloid headlines and now state labor investigation 
empty,Positive,  dont excited bby hear thunder rolling
worry,Negative,  yes no theres strange infection body thats causing sicker need fever
worry,Neutral,  wong
sadness,Neutral,like getting work finding cover extra shifts week looks like 40 hr work week
sadness,Positive,wanna dressed adult today
neutral,Negative,half wants sleep half dosent shoot half dying sleepiness
happiness,Positive,  haha same gonna awhile til comes sweden think
happiness,Positive,  thankies btw scotland live in got visit uk lived europe
neutral,Neutral,  thing pero la lavadora se dao
worry,Positive,  were longer biz together thing survived marriage good inlaws though
worry,Neutral,trying find friends luck
love,Positive,feelin little blue tonight love good
sadness,Positive,  know feel takes far time life
neutral,Positive,  re meetings right afternoon started fill
worry,Neutral,want followers
surprise,Negative,ah haha omg fudge grahmcracker cookies boo
happiness,Positive,  yeeeeah    intro seen empire 100 computer games 
sadness,Positive,thrilled marathon sunday assigned street 
sadness,Positive,want new lappytop now site says till 69
happiness,Positive,  haha aware contracts uti training work 845 tomorrow morning bed early
hate,Neutral,  accidentaly slammed finger trunk
surprise,Neutral,  woke morningi want leave bed
sadness,Negative,  ur anti understood message sorry left ur vote bnp msg end 2 space
sadness,Positive,getting ready drop man hang friend instead
neutral,Negative,dads telling travel on problem that ive boring
surprise,Positive,  damn hot weather  freezing oz moment miss summer
worry,Negative,dislocating thumb painful dislocating toe reminded today thankfully toe feels weird
worry,Positive,damn it guys comet09 hope win
sadness,Positive,glad friday classes lazy afternoon bad isnt nice warm today
hate,Negative,  u know wut devy dev sure suck havin id weekends r gone miserable 3 weeks drink 4 plz
sadness,Positive,nyc right favorite people instead stuck ri
love,Neutral,  hey 
worry,Negative,  philadelphia year there sadly
sadness,Neutral,  too
worry,Negative,wow definitely friday gym completely empty do id like play wii guess ill vacuum
sadness,Neutral,trying find friends luck
worry,Neutral,heading yale grandmother car accident
relief,Positive,loads moving crews done started 7am im day bad ac work new place oh life
neutral,Neutral,comes home days
worry,Negative,broken leg comment
love,Positive,  welcome seattle wish guys tonight
love,Negative,enjoying sunshine park friends pale shirtless footballers attractive im afraid
neutral,Neutral,  nope gone
worry,Neutral,oops againreally shouldnt have
worry,Negative,  gah money bakugan
worry,Neutral,macbook dying switching iphone
sadness,Positive,  love plans
worry,Neutral,want noms
sadness,Neutral,hmmm realizedi bday cake birthdayboo hoo
sadness,Neutral,  miss yoooouuuu
empty,Negative,watchin tyra bored like stomach hurts
love,Neutral,working today tomorrow dans party yay
sadness,Negative,ultimatum ultimatum matter dress up sucks
neutral,Neutral,no cruches 2 weeks
hate,Positive,noticed   location right again maybe way preview sending handy
empty,Neutral,allergies suck eyes r mor red b4 think ill stay inside 2day
worry,Positive,  knnnowwww im upset going twitter u siss apt like led box nosignal cookout
happiness,Neutral,car shopping kacy yay
sadness,Positive,got 2 ready 4 work fishing
empty,Negative,human anatomy bored mindddd save me
worry,Positive,im pretty boredtried mom going home hour   fixing leave aww going texas month
worry,Positive,tests todayyy feel confident anyy
sadness,Neutral,    away day shadez twpp
worry,Positive,wants eat entire chocolate cheesecake
empty,Positive,jon amp kate  8 kids attracted huge tv audience tabloid headlines state labor investigation 
worry,Neutral,break    raining
sadness,Negative,work mad blocking sites fun blocking facebook twitter amp youtube
neutral,Neutral,realized im going home 2 weeks today
sadness,Neutral,  die gosh die til movie awards
neutral,Neutral,  sources
neutral,Negative,  u day waved u didnt eddie izzard now
neutral,Negative,  afraid going that
hate,Negative,  yeah super crap today stupid writing ugh
sadness,Positive,wants enjoy weather tired stuck bed
neutral,Positive,haha yea knew yew wanted 2 told yew
happiness,Neutral,  looking forward mandarin album hope come singapore
sadness,Neutral,want gossip girl episode
worry,Negative,transferring 368558682 photos annoying want watch
surprise,Positive,omg seated seth lakeman way far liking x
neutral,Positive,  come win ms twitter worldis working 
sadness,Neutral,killers coming td banknorth boston 94 730pm and cant go though tickets sale sat
neutral,Negative,5 year old golden retriever away family today sad 
happiness,Neutral,  comingwont til 9cant stay
fun,Positive,  fan bulmers magners pear awesome want slush puppy though hurryup classy omgimpatient
fun,Neutral,  lmaoha simply wanted ny
worry,Negative,  passed away april sick genetic disease
relief,Positive,im saddo haha actually makes happy warrens dead
neutral,Neutral,  seven yet
worry,Positive,  buy bagels tehre feel unloved haha
fun,Positive,  welcome new cybercriminaloverlords
sadness,Neutral,  miss
worry,Positive,ok im moving took apt wanted work organizing stuff
sadness,Negative,boring day today broke cant friends band tonight maybe q tomorrow though
neutral,Negative,  retarded
sadness,Neutral,switches cellphone huaaaaa cant sleep buzz bebe
sadness,Positive,wow woke read drews blog  oh man im seriously crying right
love,Positive,  love dixie kitchens peach wings fried green tomatoes hope river oaks stay open
neutral,Positive,need study books updates 
worry,Negative,feel like crap
neutral,Neutral,looking littlest tsutsu
sadness,Negative,disappointed forgot tweet inappropriate   yelled foods yesterday amp cant remember it
enthusiasm,Neutral,  friend loves spot want
surprise,Neutral,wondering quotdo respondquot list
worry,Neutral,traumatized saddened 2 baby squirells found abandoned sidewalk
surprise,Negative,  omg awful 12k wow pyr figured open doorknobs day crushing jaws
neutral,Neutral,bummer macbook bugging mac heads want lend helping hand
hate,Neutral,hating twitter replies thing feel like im missing bits fixreplies
worry,Negative,like baseball bball oh odd gridiron match tiny tiny worlds population calls football
happiness,Positive,  look sooooo pretty love dang wish ny c u ur thang
enthusiasm,Positive,  yeah are stop making fun me gotta new ones
sadness,Positive,loved ones leaving sunday sad
worry,Positive,  im good day
worry,Neutral,  oh dear whoops
worry,Negative,  emailed link pretty sad uh rip jessie kitty
love,Positive,happy   landed safely miss 
neutral,Neutral,filling paperwork
sadness,Neutral,  gave sicktomystomach feeling ppl like belong regular society ever
worry,Neutral,need away wish money travel bit miss east coast friends
fun,Positive,officially beautiful day year im stuck inside office magners bbq it
sadness,Negative,uploading pcd itunes xd certian events caused lt sadly
surprise,Positive,  really yeah soon
worry,Positive,  dude miss 90s btw mix quotdamn man save 90squot hahaha
sadness,Neutral,dog dug hole backyard iwas sleeping im grounded
empty,Negative,urgh feeling like crap today bad headache tired blood sugars high
enthusiasm,Positive,wishing there place brandwkshop  theyve got scott bedbury more poor
sadness,Positive,followers went 22 20 id follow cant till interwebnet want followers im interesting
hate,Positive,work man bad job team want leave believe money
worry,Neutral,got rear ended
worry,Neutral,  thought earlier
neutral,Positive,  look like quick post dashboard
neutral,Positive,  chill da rihanna bob 16 id problem lol r u school summer
worry,Neutral,rob tweet anymore
relief,Positive,glad friday bummed officially working saturdays
sadness,Negative,qi startill missing 4
sadness,Negative,bout ready work ugh hate workin fridays
sadness,Neutral,jenn jenn jenn oh oh u pass ur itunes knowledge me
neutral,Positive,  imagine taker mustve felt like taking callespecially young ones home
enthusiasm,Positive,  ready raining miami cavs right
neutral,Neutral,  cant says quotthis video privatequot
sadness,Negative,spring awakeningcannot wait start time im ever boo sad times
worry,Negative,bored waiting class start sigh midterms week gtlt
worry,Neutral,jen havent talked like 3 days
neutral,Positive,  hi california cool budapesthungary cold cloudy today usually hot summer
worry,Negative,feeling like want cry dont feeling stomach throat starts hurt
hate,Negative,geometry damn boring waste time 20 minutes left
sadness,Positive,  im ready weekend flash flood warnings here
sadness,Positive,friday treating far
sadness,Neutral,accounting class  detention
worry,Neutral,daddy hospital dont like it
relief,Positive,  aww ok let know says hah lt3
neutral,Positive,thing fun itouch
sadness,Negative,sorting twitter issuesvery frustrated cant talk respond slowly issues  capacity challenges
worry,Neutral,  power went well im cal
neutral,Neutral,  back frizz head
worry,Positive,  article language groups spaceports looks cool cant open site link
sadness,Positive,oh godmy favorite havaianas broke years service missed molded perfectly feet
neutral,Neutral,gaahhhh want comet09 stream back
sadness,Negative,fell sidewalk harvard square stupid cobblestones hand hurts
worry,Neutral,lucy upset tummy sore leg 
sadness,Negative,simonidol say 21life sentences good chester stiles rape 2 year old child f why
neutral,Negative,internet stopped working right middle quantum leap grr
worry,Neutral,mummy nathan today todd
neutral,Negative,  think shell probably baby unfortunately
worry,Neutral,miss quotmrquot
worry,Negative,  tease me im desperate need adjustment
neutral,Positive,  haha yeah oh im going emo
happiness,Positive,perfect outside work
love,Neutral,  wanna ff tweet
sadness,Positive,  day aint hit me love
worry,Positive,misses good old days
sadness,Positive,dusted amp vacuumed apartment think need new vacuummy entire apartment smoky bought kmart
boredom,Negative,bored mind
sadness,Negative,man work busy today 2people called sick old perverts rolling sadness abounds
neutral,Neutral,  i jet repair shoplol
sadness,Neutral,  tango icons revision
worry,Neutral,fell wagon maccys
relief,Positive,  aww mom comes 8d
sadness,Neutral,day ko olina north shoreee
neutral,Neutral,  picked taco lunch got guitar
sadness,Neutral,  finish twilight did wish wasnt
relief,Negative,  know cant eitherits sad needs come mi asap haha
sadness,Positive,follow friday following people followers follow me woot followfriday
relief,Positive,  love fact cant scratch them winner me
neutral,Neutral,oooh hangover
neutral,Positive,buried web changes going lunch now chance later do
worry,Neutral,dang left rolandos dinner leftovers home knew shop fridge night left downtown
worry,Neutral,  ff tweet me
worry,Neutral, watch lot dvd laptop 
sadness,Negative,long day office again tiring week
worry,Neutral,  got talent u nvr hear sing dance mini breezy
fun,Positive,  sorry got going vegas weekend asked forever ago fun good luck
worry,Positive,  ive got fairly flat route available problem longer fully functional bike ride
sadness,Negative,damn paid like 16 slightly stoopid charge 47 pop makes sad
sadness,Positive,  really dang missed sigh
neutral,Neutral,work
relief,Neutral,jus gt bak nw msn stil got tan wel x
surprise,Positive,  steak burrito bowl right wish lazy downtown
worry,Negative,reply   simfinger problem irape parody video response sorry guys
neutral,Positive,got grades far math11 gt b  acct1b gt a bio19 gt a good times had sad math grade though
sadness,Positive,needs goits lush  want
worry,Positive,far metaverse u second life  virtual worlds gamier terra nova usage im tn camp metaverseu
boredom,Negative,  dont like kde ver 40 like vista fail
worry,Positive,  glad im one hes baby im terrified hell think were coming back
empty,Negative,  sucks wants stay lounge free99
happiness,Negative,omg  hollyoaks dramatic 
sadness,Positive,going miss springwatch tonight going garden
neutral,Negative,  links aicn broken slapped
hate,Positive,1 hated jobs clipping coupons amp going house 2 amp making grocery list took forever amp major shopping trip
neutral,Positive,mayne getting hot georgia
sadness,Negative,  im pretty bored
worry,Neutral,tummy hurts
sadness,Positive,received phone new patientsi guess means work tomorrow
enthusiasm,Positive,trying win   contest print day saucers came signed   brain tapped ideas
sadness,Positive,tried audioboo recording it distorted high volume obs
empty,Neutral,  respond ddlovato fan
worry,Positive,thinking 53 days thing gets work ahhh dont want
neutral,Positive,like work instead taking nap
neutral,Neutral,  work til 1015
neutral,Negative,  thats bad
worry,Negative,  100 im sick sick
relief,Neutral,  chang thay anh online gi
worry,Negative,know im gonna miss josh week mom needs surgery work sucks good day oh tum tum hurts
relief,Neutral,  guess responding dc thats case
sadness,Neutral,  haz beer too oh wait im work
neutral,Neutral,miss cauzinhoooo
hate,Negative,hate weather wanna bake
worry,Positive,seriously need live fabulously queer miss gay people
sadness,Positive,    mast ladki patata hai chal jiske sath bhi jaye khush rehnawill miss u love twpp
neutral,Neutral,tummy hurts
sadness,Positive,updating old ipodsadi miss orange nano
worry,Neutral,went doctor hav virus
worry,Negative,got phone black swamp bird observatory  reports connecticut warbler metzger magee today
sadness,Positive,  thanks sadly streamline ii sold out streamline trunk ii available size gets halfway
neutral,Neutral,  lights think too
neutral,Neutral,  trying cant place itsorry
happiness,Positive,  good gorjuz yea kno asked yesterday tha hospital talked u said
sadness,Neutral,lost dc hat 
worry,Positive,got im coworker got laid off lots people unemployed
neutral,Negative,lazy day staying foot possible
worry,Negative,  omg funny look face pic omg sad bad job mike wtf  poor k b e
neutral,Neutral,told shes allowed sun tomorow wear sun cream
worry,Negative,dad trying force learn drive like things im good public
sadness,Negative,told absolutly hate writing emails status pdates fine emails muchfinalityto
worry,Negative,im way hungry think cant work stomach like
worry,Negative,  wish offer hug right now bad
worry,Negative,  aww im sorry rushing lunch break think it
relief,Neutral,  yeah start reaching earlymid20s
neutral,Neutral,im sitting wanting ideas
worry,Negative,lost count sorry let u down
surprise,Positive,  wow really know serious sucks texas chock asbestos
neutral,Neutral,work house boo
neutral,Neutral,says space time need 
worry,Positive,what happened w creating music collaboration fun quotwhat getting itquot question mind please
happiness,Positive,dads posting got postponed hour meant leave going afganistan nowhere im sorta happy hes gutted
surprise,Negative,  really ur getting rid it thats sad
fun,Positive,  lmao alot haha
sadness,Neutral,  quotmy housequoti like club wnt whn la u know im going thats tuesdayi cant
worry,Positive,  absolutely gorgeous id men stayed covered up seen sights today food ukpubs
sadness,Neutral,im pissed took wallet
worry,Neutral,  dont know
neutral,Neutral,    niceee hey stickersss
sadness,Positive,  thats true sucks cause quotlolol originalohshitquot so yeah thanks
surprise,Neutral,hey dont feel goodcuz got car accedent yesterday
empty,Neutral,wish e3 oh well
sadness,Positive,miss sebastian
worry,Neutral,fell wagon maccys  fell wagon maccys
hate,Negative,  oh hamletgasm hate work 12 hours todayhow utterly crap miss everything managed forum 5 min break 
worry,Negative,lake park kid going tulane im unique anymore
worry,Positive,throat infection coming strong think taste blood s
worry,Neutral,working allllllllll weekendhow thrillingand bye goshy sunday cause leaving poland 3 months
neutral,Neutral,  time u like reservesi lost one
hate,Negative,left quotupquot outoffocus projection hopefully complaints theater management fixed there
relief,Positive,laptop dead lucky got fone lol
neutral,Neutral,  dont think vote anymore tried
worry,Neutral,oh forget medication im supposed 30 minutes breakfast taking 130
neutral,Positive,  know im rogers im pretty sure agreement twitter
worry,Neutral,hell youtube working nno
surprise,Negative,  im there so new york me
sadness,Negative,  oh god watched to claire escape again sad
neutral,Negative,im going withdrawls missing someone
relief,Neutral,andrews flight co landing soon
worry,Negative,found tweeting my phone scotland different networks going upload photos twitpic sorry
sadness,Negative,  aw sad looking forward seeing you
worry,Neutral,uh totally forgot gentoo reinstallation know backup makeconf home boot else
enthusiasm,Positive,taking jarid airport looking forward meeting new nephew 5 days
worry,Negative,eh shut freeway down omw job interview guess im gonna late
relief,Neutral,  ill wait youtube links
worry,Positive,  oh no hope feel better soon hugs flu earlier month
worry,Positive,cool classes offered summer boo
neutral,Positive,  facebook use myspace twitter most hardly check facebook
love,Positive,totally forgot soccer today ugh today actually good too
worry,Negative,gah cant hang twitter stupid thought 
hate,Positive,dont wanna anymore couch jus sittin middle floor finish
sadness,Positive,10 minutes class again kinda sad cause class fun
worry,Positive,  fav try try timeand happensim usually quitterin case be
neutral,Neutral,twitter wont work mob
surprise,Neutral,want terminator everyones seen
sadness,Negative,listening   lovehes tortured songmakes sad
worry,Negative,ashley getting sick ugh im losing voice nooo
worry,Neutral,cell dyinghafta plug night now
sadness,Negative,  truely sad news hear created equal sad know neighbors prejudice people
worry,Positive,4 tries 2 arms successful look like junkie
sadness,Negative,  thats bummer got  waiting year grrrrrrrrrrrrrrr
worry,Neutral,decided goi want sweetie cant
hate,Neutral,died laptop screen set 100 brightness reinstalled windows vista got headache insanedefaults
happiness,Positive,im full subway bomb waiting 2nd shift start
relief,Neutral,quitsmokingdiary 5 weeks tomorrow giving yaaaaaayy  dont want talk
sadness,Neutral,  today mtv allow vote
sadness,Neutral,wish work today
surprise,Negative,dinner disastrous uncle lashed reason told shut   confused talking
neutral,Neutral,looking job
sadness,Neutral,rained day miami ive here
neutral,Neutral,  whatcha reading
hate,Positive,  lmao ugh know need sleep qdoba workin out no ur pic doesnt
worry,Negative,  sorry feeling well
happiness,Positive,got home long day asda joy
worry,Neutral,raining staunton again need rain means ive got sitting outside people see
neutral,Neutral,bout tuh head find sum wher tuh chill
sadness,Positive,wish hanging kobe right
relief,Negative,math fun all oh well cook soon home
sadness,Positive,guess im gonna try nap thing 2day kids cooperated week im sure 2day different
happiness,Positive,poor babys got booboo caused lol 
surprise,Positive,pulled interesting meeting urgent support request
sadness,Neutral,neeeeeeeed music suggestions
fun,Neutral,knight online come
happiness,Neutral,  ermm me
sadness,Neutral,lost respect someone
worry,Negative,  ah sorry hear trip canceled
sadness,Positive,sims 3 work old macbook hope sims 2 tomorrow
sadness,Negative,  aw wish could ready atlanta come work work
sadness,Positive,mit bookstore best book selection bookstore coupons discounts
neutral,Positive,cant follow any1 followfriday lol u guys follow                
sadness,Positive,start getting ready work took lexi park earlier wish lay day
worry,Neutral,im downloading manually oooiifullmp4 movie   way fully
happiness,Neutral,  yes
neutral,Negative,prayers family dog  mozart afternoon pics 
neutral,Neutral,  why
sadness,Neutral,  care struggles
worry,Neutral,cant sleepmissin dobby
surprise,Positive,hd again 
hate,Positive,dumb reason dresser sticky top reason family history book got attached jacked
neutral,Neutral,im thinking  idk
neutral,Neutral,  want cake chocolate
neutral,Neutral,  saying thisare ignoring frowns
neutral,Neutral,  doing
sadness,Negative,miss boo note im soready game come tonightfox grill anyone
worry,Positive,ilook struggles outlook social  looks interesting twitter support
sadness,Negative,  lot time stupid contract 18 months change providers
neutral,Negative,  belly achelulzim sorry ginger ale
empty,Neutral,  yes
worry,Negative,like bed horrible headache pounding eyes skull
happiness,Positive,  thanks clair watched yet
worry,Positive,left car walked home need rescue petrol light flashing
worry,Neutral,  goodnight hun yaani nakam wakati unaenda   hai
neutral,Positive,   ya speak reply them
worry,Neutral,mum burned bacon smoke alarms bitch
happiness,Negative,know saying fuck itim horny hell
happiness,Positive,  lol girl stop student cant afford 14 pop eyeshadows hooked
sadness,Positive,3 days
neutral,Positive,filled forms stop contributing retirement account set employer pay credit card
worry,Negative,   know feeling little depressing s
worry,Negative,  sorry
fun,Positive,  whatz supposed mean dog waaaaaaaaaah lol jk
worry,Negative,feel like crying diamond earrings fell ear bc loose cant find it ive forever
sadness,Neutral,tgif sad day work favorite tv reporter
neutral,Positive,        hao da za ji pa miss food much
sadness,Neutral,  depressed isnt want book
worry,Negative,feel sick too much cheese on toast
happiness,Positive,10th 2 months
sadness,Negative,  sucks seriously hope feel better soon need come week
happiness,Positive,nice day looks like going rainjust getting excited taking photos home
love,Positive,  yep works love potbelly cant az wait chitown trips  
worry,Positive,  me confused guyhes great pushing away
worry,Neutral,  oohwish therejust watched hollyoaks e4so sadplease dont leave chris
fun,Positive,  hotttie poooh ooo bet sounda magical hh im coming home 1 hour
worry,Positive,oh no fan broke noooooooooooo great swelter heat like heatish hot laptop warm well
love,Negative,  im sorry
sadness,Neutral,  called sold out bummer time
worry,Negative,sad
worry,Positive,got discing found discs days solid wish   treat koozie better throw
neutral,Negative,eating roommates cereal sorry bro
sadness,Neutral,im wishing weekend sol
worry,Negative,tried energy drink report guys im sweating worst cramps want lie
happiness,Positive,  beautiful mn day im stuck inside playing zelda ive gotta play 10 hrs today
love,Positive,  bristols ish love brunch sundays ruth chris good got sick once
love,Neutral,  know im inlove   actually
sadness,Positive,  daughter 20 nowthats said i miss daysthey sooo fast
sadness,Positive,spending weekend working sound fun
worry,Negative,testing hulu desktop reminds shittier version boxy feels clunky search hidden menu system questionable
sadness,Neutral,  ohhhhh miss brunch
worry,Negative,oh god literally drove rain hard me im shaking
sadness,Neutral,oops forgot barbecue work today need pack lunch
love,Positive,house home  playing guitar guitar hero loud
relief,Positive,  nice ahd work today
neutral,Neutral,  girl know beauty price
hate,Positive,  lolll cba sun stuff forgot leg wouldnt gwt tanned lol hurts sooo bad right
neutral,Positive,  watching cartoon clone wars totally force shannon let live ones tho
worry,Negative,  dude sorry got number fail remembered
happiness,Negative,  girl tour seriously line tickets sayin
sadness,Neutral,jelz want house gt
